Sample,mV,mA
Si_1,606,0.8
Si_1,626,1.2
Si_1,650,2
Si_1,675,3.1
Si_1,700,5
Si_1,725,7.4
Si_1,750,10.9
Si_1,775,15.8
Si_1,800,22.3
Si_1,823,30.3
Si_1,849,41.3
Si_1,876,57.2
Si_1,904,77.7
Si_1,925,97.7
Si_1,949,125.6
Si_1,974,162.7
Si_1,999,206
Si_1,1024,261
Si_1,1049,324
Ge_1,67,0.04
Ge_1,140,0.06
Ge_1,216,0.17
Ge_1,242,0.32
Ge_1,263,0.58
Ge_1,280,0.98
Ge_1,302,1.91
Ge_1,320,3.06
Ge_1,342,5.28
Ge_1,368,8.73
Ge_1,388,12.04
Ge_1,410,16.08
Ge_1,432,20.6
Ge_2,160,0.02
Ge_2,200,0.07
Ge_2,226,0.14
Ge_2,244,0.25
Ge_2,270,0.61
Ge_2,300,1.64
Ge_2,322,3.01
Ge_2,352,5.96
Ge_2,391,11.56
Ge_2,407,14.2
Ge_2,439,20.2
Ge_2,477,27.85
Ge_2,512,35.2
Ge_2,546,42.7
Ge_2,580,50.2
Ge_2,622,60.65
