Index,Temp,sweep,I_Si,I_Ge
0,27,0.00E+00,-9.73E-20,-4.16E-25
1,27,2.00E-02,1.40E-09,1.61E-06
2,27,4.00E-02,3.57E-09,4.23E-06
3,27,6.00E-02,6.95E-09,8.47E-06
4,27,8.00E-02,1.22E-08,1.53E-05
5,27,1.00E-01,2.04E-08,2.64E-05
6,27,1.20E-01,3.31E-08,4.43E-05
7,27,1.40E-01,5.28E-08,7.31E-05
8,27,1.60E-01,8.36E-08,1.19E-04
9,27,1.80E-01,1.31E-07,1.93E-04
10,27,2.00E-01,2.06E-07,3.08E-04
11,27,2.20E-01,3.21E-07,4.88E-04
12,27,2.40E-01,5.00E-07,7.59E-04
13,27,2.60E-01,7.80E-07,1.16E-03
14,27,2.80E-01,1.21E-06,1.72E-03
15,27,3.00E-01,1.89E-06,2.48E-03
16,27,3.20E-01,2.94E-06,3.45E-03
17,27,3.40E-01,4.57E-06,4.64E-03
18,27,3.60E-01,7.10E-06,6.04E-03
19,27,3.80E-01,1.10E-05,7.63E-03
20,27,4.00E-01,1.72E-05,9.38E-03
21,27,4.20E-01,2.67E-05,1.13E-02
22,27,4.40E-01,4.15E-05,1.33E-02
23,27,4.60E-01,6.45E-05,1.54E-02
24,27,4.80E-01,1.00E-04,1.77E-02
25,27,5.00E-01,1.56E-04,2.00E-02
26,27,5.20E-01,2.42E-04,2.23E-02
27,27,5.40E-01,3.76E-04,2.48E-02
28,27,5.60E-01,5.83E-04,2.72E-02
29,27,5.80E-01,9.02E-04,2.97E-02
30,27,6.00E-01,1.39E-03,3.23E-02
31,27,6.20E-01,2.15E-03,3.49E-02
32,27,6.40E-01,3.29E-03,3.75E-02
33,27,6.60E-01,5.01E-03,4.01E-02
34,27,6.80E-01,7.54E-03,4.28E-02
35,27,7.00E-01,1.12E-02,4.55E-02
36,27,7.20E-01,1.63E-02,4.82E-02
37,27,7.40E-01,2.33E-02,5.09E-02
38,27,7.60E-01,3.23E-02,5.37E-02
39,27,7.80E-01,4.36E-02,5.64E-02
40,27,8.00E-01,5.72E-02,5.92E-02
41,27,8.20E-01,7.30E-02,6.20E-02
42,27,8.40E-01,9.08E-02,6.48E-02
43,27,8.60E-01,1.10E-01,6.76E-02
44,27,8.80E-01,1.32E-01,7.04E-02
45,27,9.00E-01,1.54E-01,7.32E-02
46,27,9.20E-01,1.78E-01,7.61E-02
47,27,9.40E-01,2.03E-01,7.89E-02
48,27,9.60E-01,2.28E-01,8.18E-02
49,27,9.80E-01,2.55E-01,8.46E-02
50,27,1.00E+00,2.82E-01,8.75E-02
0,52,0.00E+00,0.00E+00,-2.66E-21
1,52,2.00E-02,9.56E-09,5.88E-06
2,52,4.00E-02,2.39E-08,1.51E-05
3,52,6.00E-02,4.55E-08,2.93E-05
4,52,8.00E-02,7.80E-08,5.15E-05
5,52,1.00E-01,1.27E-07,8.59E-05
6,52,1.20E-01,2.00E-07,1.39E-04
7,52,1.40E-01,3.10E-07,2.20E-04
8,52,1.60E-01,4.76E-07,3.44E-04
9,52,1.80E-01,7.25E-07,5.28E-04
10,52,2.00E-01,1.10E-06,7.99E-04
11,52,2.20E-01,1.66E-06,1.18E-03
12,52,2.40E-01,2.51E-06,1.72E-03
13,52,2.60E-01,3.78E-06,2.43E-03
14,52,2.80E-01,5.68E-06,3.33E-03
15,52,3.00E-01,8.55E-06,4.43E-03
16,52,3.20E-01,1.29E-05,5.74E-03
17,52,3.40E-01,1.93E-05,7.22E-03
18,52,3.60E-01,2.91E-05,8.88E-03
19,52,3.80E-01,4.37E-05,1.07E-02
20,52,4.00E-01,6.57E-05,1.26E-02
21,52,4.20E-01,9.87E-05,1.47E-02
22,52,4.40E-01,1.48E-04,1.68E-02
23,52,4.60E-01,2.23E-04,1.90E-02
24,52,4.80E-01,3.34E-04,2.13E-02
25,52,5.00E-01,5.01E-04,2.37E-02
26,52,5.20E-01,7.51E-04,2.61E-02
27,52,5.40E-01,1.12E-03,2.85E-02
28,52,5.60E-01,1.68E-03,3.10E-02
29,52,5.80E-01,2.50E-03,3.36E-02
30,52,6.00E-01,3.70E-03,3.61E-02
31,52,6.20E-01,5.45E-03,3.87E-02
32,52,6.40E-01,7.96E-03,4.14E-02
33,52,6.60E-01,1.15E-02,4.40E-02
34,52,6.80E-01,1.63E-02,4.67E-02
35,52,7.00E-01,2.28E-02,4.94E-02
36,52,7.20E-01,3.11E-02,5.21E-02
37,52,7.40E-01,4.14E-02,5.48E-02
38,52,7.60E-01,5.39E-02,5.75E-02
39,52,7.80E-01,6.85E-02,6.03E-02
40,52,8.00E-01,8.50E-02,6.31E-02
41,52,8.20E-01,1.03E-01,6.58E-02
42,52,8.40E-01,1.23E-01,6.86E-02
43,52,8.60E-01,1.45E-01,7.14E-02
44,52,8.80E-01,1.67E-01,7.42E-02
45,52,9.00E-01,1.91E-01,7.71E-02
46,52,9.20E-01,2.16E-01,7.99E-02
47,52,9.40E-01,2.41E-01,8.27E-02
48,52,9.60E-01,2.68E-01,8.56E-02
49,52,9.80E-01,2.95E-01,8.84E-02
50,52,1.00E+00,3.22E-01,9.13E-02
0,77,0.00E+00,-9.73E-20,-4.16E-25
1,77,2.00E-02,1.40E-09,1.61E-06
2,77,4.00E-02,3.57E-09,4.23E-06
3,77,6.00E-02,6.95E-09,8.47E-06
4,77,8.00E-02,1.22E-08,1.53E-05
5,77,1.00E-01,2.04E-08,2.64E-05
6,77,1.20E-01,3.31E-08,4.43E-05
7,77,1.40E-01,5.28E-08,7.31E-05
8,77,1.60E-01,8.36E-08,1.19E-04
9,77,1.80E-01,1.31E-07,1.93E-04
10,77,2.00E-01,2.06E-07,3.08E-04
11,77,2.20E-01,3.21E-07,4.88E-04
12,77,2.40E-01,5.00E-07,7.59E-04
13,77,2.60E-01,7.80E-07,1.16E-03
14,77,2.80E-01,1.21E-06,1.72E-03
15,77,3.00E-01,1.89E-06,2.48E-03
16,77,3.20E-01,2.94E-06,3.45E-03
17,77,3.40E-01,4.57E-06,4.64E-03
18,77,3.60E-01,7.10E-06,6.04E-03
19,77,3.80E-01,1.10E-05,7.63E-03
20,77,4.00E-01,1.72E-05,9.38E-03
21,77,4.20E-01,2.67E-05,1.13E-02
22,77,4.40E-01,4.15E-05,1.33E-02
23,77,4.60E-01,6.45E-05,1.54E-02
24,77,4.80E-01,1.00E-04,1.77E-02
25,77,5.00E-01,1.56E-04,2.00E-02
26,77,5.20E-01,2.42E-04,2.23E-02
27,77,5.40E-01,3.76E-04,2.48E-02
28,77,5.60E-01,5.83E-04,2.72E-02
29,77,5.80E-01,9.02E-04,2.97E-02
30,77,6.00E-01,1.39E-03,3.23E-02
31,77,6.20E-01,2.15E-03,3.49E-02
32,77,6.40E-01,3.29E-03,3.75E-02
33,77,6.60E-01,5.01E-03,4.01E-02
34,77,6.80E-01,7.54E-03,4.28E-02
35,77,7.00E-01,1.12E-02,4.55E-02
36,77,7.20E-01,1.63E-02,4.82E-02
37,77,7.40E-01,2.33E-02,5.09E-02
38,77,7.60E-01,3.23E-02,5.37E-02
39,77,7.80E-01,4.36E-02,5.64E-02
40,77,8.00E-01,5.72E-02,5.92E-02
41,77,8.20E-01,7.30E-02,6.20E-02
42,77,8.40E-01,9.08E-02,6.48E-02
43,77,8.60E-01,1.10E-01,6.76E-02
44,77,8.80E-01,1.32E-01,7.04E-02
45,77,9.00E-01,1.54E-01,7.32E-02
46,77,9.20E-01,1.78E-01,7.61E-02
47,77,9.40E-01,2.03E-01,7.89E-02
48,77,9.60E-01,2.28E-01,8.18E-02
49,77,9.80E-01,2.55E-01,8.46E-02
50,77,1.00E+00,2.82E-01,8.75E-02
