V_CE,I_B,I_C
0.05,0.001,0.02
0.1,0.001,0.1
0.2,0.001,0.27
0.5,0.001,0.32
1,0.001,0.33
2,0.001,0.34
5,0.001,0.35
10,0.001,0.36
0.05,0.01,0.25
0.1,0.01,1.17
0.2,0.01,3.07
0.5,0.01,3.42
1,0.01,3.34
2,0.01,3.36
5,0.01,3.44
10,0.01,3.63
0.05,0.05,1.4
0.1,0.05,5.2
0.2,0.05,11.2
0.5,0.05,14.5
1,0.05,15.7
2,0.05,16.9
5,0.05,19.1
10,0.05,22.5
0.05,0.15,4
0.1,0.15,10.7
0.2,0.15,22.1
0.5,0.15,28.7
1,0.15,36
2,0.15,46
5,0.15,62.7
10,0.15,73
0.05,0.4,7.8
0.1,0.4,20.3
0.2,0.4,39
0.5,0.4,48.7
1,0.4,57.7
2,0.4,71
5,0.4,85.7
10,0.4,90.1
