                        * ELE339 BJT Modeling IC vs. IB
             DC transfer characteristic  Thu Jun 29 22:13:46  2023
--------------------------------------------------------------------------------
Index     sweep         v(1)          v(3)          v(99)         vc#branch   
--------------------------------------------------------------------------------
0         0.00000e+00   5.38130e-01   0.00000e+00   0.00000e+00  -9.87881e-06 
1         1.00000e-02   5.48011e-01   1.00000e-02   1.00000e-02  -6.43766e-06 
2         2.00000e-02   5.57848e-01   2.00000e-02   2.00000e-02  -1.43028e-06 
3         3.00000e-02   5.67623e-01   3.00000e-02   3.00000e-02   5.82885e-06 
4         4.00000e-02   5.77313e-01   4.00000e-02   4.00000e-02   1.62975e-05 
5         5.00000e-02   5.86889e-01   5.00000e-02   5.00000e-02   3.12864e-05 
6         6.00000e-02   5.96308e-01   6.00000e-02   6.00000e-02   5.25367e-05 
7         7.00000e-02   6.05517e-01   7.00000e-02   7.00000e-02   8.22632e-05 
8         8.00000e-02   6.14447e-01   8.00000e-02   8.00000e-02   1.23107e-04 
9         9.00000e-02   6.23013e-01   9.00000e-02   9.00000e-02   1.77911e-04 
10        1.00000e-01   6.31114e-01   1.00000e-01   1.00000e-01   2.49226e-04 
11        1.10000e-01   6.38639e-01   1.10000e-01   1.10000e-01   3.38511e-04 
12        1.20000e-01   6.45476e-01   1.20000e-01   1.20000e-01   4.45155e-04 
13        1.30000e-01   6.51526e-01   1.30000e-01   1.30000e-01   5.65693e-04 
14        1.40000e-01   6.56721e-01   1.40000e-01   1.40000e-01   6.93767e-04 
15        1.50000e-01   6.61039e-01   1.50000e-01   1.50000e-01   8.21181e-04 
16        1.60000e-01   6.64509e-01   1.60000e-01   1.60000e-01   9.39805e-04 
17        1.70000e-01   6.67209e-01   1.70000e-01   1.70000e-01   1.04350e-03 
18        1.80000e-01   6.69247e-01   1.80000e-01   1.80000e-01   1.12915e-03 
19        1.90000e-01   6.70747e-01   1.90000e-01   1.90000e-01   1.19658e-03 
20        2.00000e-01   6.71829e-01   2.00000e-01   2.00000e-01   1.24765e-03 
21        2.10000e-01   6.72596e-01   2.10000e-01   2.10000e-01   1.28520e-03 
22        2.20000e-01   6.73134e-01   2.20000e-01   2.20000e-01   1.31220e-03 
23        2.30000e-01   6.73507e-01   2.30000e-01   2.30000e-01   1.33132e-03 
24        2.40000e-01   6.73765e-01   2.40000e-01   2.40000e-01   1.34471e-03 
25        2.50000e-01   6.73941e-01   2.50000e-01   2.50000e-01   1.35404e-03 
26        2.60000e-01   6.74062e-01   2.60000e-01   2.60000e-01   1.36052e-03 
27        2.70000e-01   6.74145e-01   2.70000e-01   2.70000e-01   1.36501e-03 
28        2.80000e-01   6.74201e-01   2.80000e-01   2.80000e-01   1.36815e-03 
29        2.90000e-01   6.74239e-01   2.90000e-01   2.90000e-01   1.37034e-03 
30        3.00000e-01   6.74265e-01   3.00000e-01   3.00000e-01   1.37190e-03 
31        3.10000e-01   6.74283e-01   3.10000e-01   3.10000e-01   1.37302e-03 
32        3.20000e-01   6.74295e-01   3.20000e-01   3.20000e-01   1.37384e-03 
33        3.30000e-01   6.74303e-01   3.30000e-01   3.30000e-01   1.37445e-03 
34        3.40000e-01   6.74309e-01   3.40000e-01   3.40000e-01   1.37493e-03 
35        3.50000e-01   6.74313e-01   3.50000e-01   3.50000e-01   1.37532e-03 
36        3.60000e-01   6.74315e-01   3.60000e-01   3.60000e-01   1.37564e-03 
37        3.70000e-01   6.74317e-01   3.70000e-01   3.70000e-01   1.37592e-03 
38        3.80000e-01   6.74318e-01   3.80000e-01   3.80000e-01   1.37617e-03 
39        3.90000e-01   6.74319e-01   3.90000e-01   3.90000e-01   1.37640e-03 
40        4.00000e-01   6.74320e-01   4.00000e-01   4.00000e-01   1.37661e-03 
41        4.10000e-01   6.74320e-01   4.10000e-01   4.10000e-01   1.37682e-03 
42        4.20000e-01   6.74320e-01   4.20000e-01   4.20000e-01   1.37702e-03 
43        4.30000e-01   6.74320e-01   4.30000e-01   4.30000e-01   1.37722e-03 
44        4.40000e-01   6.74320e-01   4.40000e-01   4.40000e-01   1.37741e-03 
45        4.50000e-01   6.74321e-01   4.50000e-01   4.50000e-01   1.37760e-03 
46        4.60000e-01   6.74321e-01   4.60000e-01   4.60000e-01   1.37779e-03 
47        4.70000e-01   6.74321e-01   4.70000e-01   4.70000e-01   1.37798e-03 
48        4.80000e-01   6.74321e-01   4.80000e-01   4.80000e-01   1.37817e-03 
49        4.90000e-01   6.74321e-01   4.90000e-01   4.90000e-01   1.37835e-03 
50        5.00000e-01   6.74321e-01   5.00000e-01   5.00000e-01   1.37854e-03 
51        5.10000e-01   6.74321e-01   5.10000e-01   5.10000e-01   1.37873e-03 
52        5.20000e-01   6.74321e-01   5.20000e-01   5.20000e-01   1.37891e-03 

Index     sweep         v(1)          v(3)          v(99)         vc#branch   
--------------------------------------------------------------------------------
53        5.30000e-01   6.74321e-01   5.30000e-01   5.30000e-01   1.37910e-03 
54        5.40000e-01   6.74321e-01   5.40000e-01   5.40000e-01   1.37929e-03 
55        5.50000e-01   6.74321e-01   5.50000e-01   5.50000e-01   1.37947e-03 
56        5.60000e-01   6.74321e-01   5.60000e-01   5.60000e-01   1.37966e-03 
57        5.70000e-01   6.74321e-01   5.70000e-01   5.70000e-01   1.37985e-03 
58        5.80000e-01   6.74321e-01   5.80000e-01   5.80000e-01   1.38003e-03 
59        5.90000e-01   6.74321e-01   5.90000e-01   5.90000e-01   1.38022e-03 
60        6.00000e-01   6.74321e-01   6.00000e-01   6.00000e-01   1.38041e-03 
61        6.10000e-01   6.74321e-01   6.10000e-01   6.10000e-01   1.38059e-03 
62        6.20000e-01   6.74321e-01   6.20000e-01   6.20000e-01   1.38078e-03 
63        6.30000e-01   6.74321e-01   6.30000e-01   6.30000e-01   1.38097e-03 
64        6.40000e-01   6.74321e-01   6.40000e-01   6.40000e-01   1.38115e-03 
65        6.50000e-01   6.74321e-01   6.50000e-01   6.50000e-01   1.38134e-03 
66        6.60000e-01   6.74321e-01   6.60000e-01   6.60000e-01   1.38153e-03 
67        6.70000e-01   6.74321e-01   6.70000e-01   6.70000e-01   1.38171e-03 
68        6.80000e-01   6.74321e-01   6.80000e-01   6.80000e-01   1.38190e-03 
69        6.90000e-01   6.74321e-01   6.90000e-01   6.90000e-01   1.38209e-03 
70        7.00000e-01   6.74321e-01   7.00000e-01   7.00000e-01   1.38227e-03 
71        7.10000e-01   6.74321e-01   7.10000e-01   7.10000e-01   1.38246e-03 
72        7.20000e-01   6.74321e-01   7.20000e-01   7.20000e-01   1.38265e-03 
73        7.30000e-01   6.74321e-01   7.30000e-01   7.30000e-01   1.38283e-03 
74        7.40000e-01   6.74321e-01   7.40000e-01   7.40000e-01   1.38302e-03 
75        7.50000e-01   6.74321e-01   7.50000e-01   7.50000e-01   1.38321e-03 
76        7.60000e-01   6.74321e-01   7.60000e-01   7.60000e-01   1.38339e-03 
77        7.70000e-01   6.74321e-01   7.70000e-01   7.70000e-01   1.38358e-03 
78        7.80000e-01   6.74321e-01   7.80000e-01   7.80000e-01   1.38377e-03 
79        7.90000e-01   6.74321e-01   7.90000e-01   7.90000e-01   1.38395e-03 
80        8.00000e-01   6.74321e-01   8.00000e-01   8.00000e-01   1.38414e-03 
81        8.10000e-01   6.74321e-01   8.10000e-01   8.10000e-01   1.38433e-03 
82        8.20000e-01   6.74321e-01   8.20000e-01   8.20000e-01   1.38451e-03 
83        8.30000e-01   6.74321e-01   8.30000e-01   8.30000e-01   1.38470e-03 
84        8.40000e-01   6.74321e-01   8.40000e-01   8.40000e-01   1.38489e-03 
85        8.50000e-01   6.74321e-01   8.50000e-01   8.50000e-01   1.38507e-03 
86        8.60000e-01   6.74321e-01   8.60000e-01   8.60000e-01   1.38526e-03 
87        8.70000e-01   6.74321e-01   8.70000e-01   8.70000e-01   1.38545e-03 
88        8.80000e-01   6.74321e-01   8.80000e-01   8.80000e-01   1.38563e-03 
89        8.90000e-01   6.74321e-01   8.90000e-01   8.90000e-01   1.38582e-03 
90        9.00000e-01   6.74321e-01   9.00000e-01   9.00000e-01   1.38601e-03 
91        9.10000e-01   6.74321e-01   9.10000e-01   9.10000e-01   1.38619e-03 
92        9.20000e-01   6.74321e-01   9.20000e-01   9.20000e-01   1.38638e-03 
93        9.30000e-01   6.74321e-01   9.30000e-01   9.30000e-01   1.38657e-03 
94        9.40000e-01   6.74321e-01   9.40000e-01   9.40000e-01   1.38675e-03 
95        9.50000e-01   6.74321e-01   9.50000e-01   9.50000e-01   1.38694e-03 
96        9.60000e-01   6.74321e-01   9.60000e-01   9.60000e-01   1.38713e-03 
97        9.70000e-01   6.74321e-01   9.70000e-01   9.70000e-01   1.38731e-03 
98        9.80000e-01   6.74321e-01   9.80000e-01   9.80000e-01   1.38750e-03 
99        9.90000e-01   6.74321e-01   9.90000e-01   9.90000e-01   1.38769e-03 
100       1.00000e+00   6.74321e-01   1.00000e+00   1.00000e+00   1.38787e-03 
101       1.01000e+00   6.74321e-01   1.01000e+00   1.01000e+00   1.38806e-03 
102       1.02000e+00   6.74321e-01   1.02000e+00   1.02000e+00   1.38825e-03 
103       1.03000e+00   6.74321e-01   1.03000e+00   1.03000e+00   1.38843e-03 
104       1.04000e+00   6.74321e-01   1.04000e+00   1.04000e+00   1.38862e-03 
105       1.05000e+00   6.74321e-01   1.05000e+00   1.05000e+00   1.38881e-03 
106       1.06000e+00   6.74321e-01   1.06000e+00   1.06000e+00   1.38899e-03 
107       1.07000e+00   6.74321e-01   1.07000e+00   1.07000e+00   1.38918e-03 
108       1.08000e+00   6.74321e-01   1.08000e+00   1.08000e+00   1.38937e-03 

Index     sweep         v(1)          v(3)          v(99)         vc#branch   
--------------------------------------------------------------------------------
109       1.09000e+00   6.74321e-01   1.09000e+00   1.09000e+00   1.38955e-03 
110       1.10000e+00   6.74321e-01   1.10000e+00   1.10000e+00   1.38974e-03 
111       1.11000e+00   6.74321e-01   1.11000e+00   1.11000e+00   1.38993e-03 
112       1.12000e+00   6.74321e-01   1.12000e+00   1.12000e+00   1.39011e-03 
113       1.13000e+00   6.74321e-01   1.13000e+00   1.13000e+00   1.39030e-03 
114       1.14000e+00   6.74321e-01   1.14000e+00   1.14000e+00   1.39049e-03 
115       1.15000e+00   6.74321e-01   1.15000e+00   1.15000e+00   1.39067e-03 
116       1.16000e+00   6.74321e-01   1.16000e+00   1.16000e+00   1.39086e-03 
117       1.17000e+00   6.74321e-01   1.17000e+00   1.17000e+00   1.39105e-03 
118       1.18000e+00   6.74321e-01   1.18000e+00   1.18000e+00   1.39123e-03 
119       1.19000e+00   6.74321e-01   1.19000e+00   1.19000e+00   1.39142e-03 
120       1.20000e+00   6.74321e-01   1.20000e+00   1.20000e+00   1.39161e-03 
121       1.21000e+00   6.74321e-01   1.21000e+00   1.21000e+00   1.39179e-03 
122       1.22000e+00   6.74321e-01   1.22000e+00   1.22000e+00   1.39198e-03 
123       1.23000e+00   6.74321e-01   1.23000e+00   1.23000e+00   1.39217e-03 
124       1.24000e+00   6.74321e-01   1.24000e+00   1.24000e+00   1.39235e-03 
125       1.25000e+00   6.74321e-01   1.25000e+00   1.25000e+00   1.39254e-03 
126       1.26000e+00   6.74321e-01   1.26000e+00   1.26000e+00   1.39273e-03 
127       1.27000e+00   6.74321e-01   1.27000e+00   1.27000e+00   1.39291e-03 
128       1.28000e+00   6.74321e-01   1.28000e+00   1.28000e+00   1.39310e-03 
129       1.29000e+00   6.74321e-01   1.29000e+00   1.29000e+00   1.39329e-03 
130       1.30000e+00   6.74321e-01   1.30000e+00   1.30000e+00   1.39347e-03 
131       1.31000e+00   6.74321e-01   1.31000e+00   1.31000e+00   1.39366e-03 
132       1.32000e+00   6.74321e-01   1.32000e+00   1.32000e+00   1.39385e-03 
133       1.33000e+00   6.74321e-01   1.33000e+00   1.33000e+00   1.39403e-03 
134       1.34000e+00   6.74321e-01   1.34000e+00   1.34000e+00   1.39422e-03 
135       1.35000e+00   6.74321e-01   1.35000e+00   1.35000e+00   1.39441e-03 
136       1.36000e+00   6.74321e-01   1.36000e+00   1.36000e+00   1.39459e-03 
137       1.37000e+00   6.74321e-01   1.37000e+00   1.37000e+00   1.39478e-03 
138       1.38000e+00   6.74321e-01   1.38000e+00   1.38000e+00   1.39497e-03 
139       1.39000e+00   6.74321e-01   1.39000e+00   1.39000e+00   1.39515e-03 
140       1.40000e+00   6.74321e-01   1.40000e+00   1.40000e+00   1.39534e-03 
141       1.41000e+00   6.74321e-01   1.41000e+00   1.41000e+00   1.39553e-03 
142       1.42000e+00   6.74321e-01   1.42000e+00   1.42000e+00   1.39571e-03 
143       1.43000e+00   6.74321e-01   1.43000e+00   1.43000e+00   1.39590e-03 
144       1.44000e+00   6.74321e-01   1.44000e+00   1.44000e+00   1.39609e-03 
145       1.45000e+00   6.74321e-01   1.45000e+00   1.45000e+00   1.39627e-03 
146       1.46000e+00   6.74321e-01   1.46000e+00   1.46000e+00   1.39646e-03 
147       1.47000e+00   6.74321e-01   1.47000e+00   1.47000e+00   1.39665e-03 
148       1.48000e+00   6.74321e-01   1.48000e+00   1.48000e+00   1.39683e-03 
149       1.49000e+00   6.74321e-01   1.49000e+00   1.49000e+00   1.39702e-03 
150       1.50000e+00   6.74321e-01   1.50000e+00   1.50000e+00   1.39721e-03 
151       1.51000e+00   6.74321e-01   1.51000e+00   1.51000e+00   1.39739e-03 
152       1.52000e+00   6.74321e-01   1.52000e+00   1.52000e+00   1.39758e-03 
153       1.53000e+00   6.74321e-01   1.53000e+00   1.53000e+00   1.39777e-03 
154       1.54000e+00   6.74321e-01   1.54000e+00   1.54000e+00   1.39795e-03 
155       1.55000e+00   6.74321e-01   1.55000e+00   1.55000e+00   1.39814e-03 
156       1.56000e+00   6.74321e-01   1.56000e+00   1.56000e+00   1.39833e-03 
157       1.57000e+00   6.74321e-01   1.57000e+00   1.57000e+00   1.39851e-03 
158       1.58000e+00   6.74321e-01   1.58000e+00   1.58000e+00   1.39870e-03 
159       1.59000e+00   6.74321e-01   1.59000e+00   1.59000e+00   1.39889e-03 
160       1.60000e+00   6.74321e-01   1.60000e+00   1.60000e+00   1.39907e-03 
161       1.61000e+00   6.74321e-01   1.61000e+00   1.61000e+00   1.39926e-03 
162       1.62000e+00   6.74321e-01   1.62000e+00   1.62000e+00   1.39945e-03 
163       1.63000e+00   6.74321e-01   1.63000e+00   1.63000e+00   1.39963e-03 
164       1.64000e+00   6.74321e-01   1.64000e+00   1.64000e+00   1.39982e-03 

Index     sweep         v(1)          v(3)          v(99)         vc#branch   
--------------------------------------------------------------------------------
165       1.65000e+00   6.74321e-01   1.65000e+00   1.65000e+00   1.40001e-03 
166       1.66000e+00   6.74321e-01   1.66000e+00   1.66000e+00   1.40019e-03 
167       1.67000e+00   6.74321e-01   1.67000e+00   1.67000e+00   1.40038e-03 
168       1.68000e+00   6.74321e-01   1.68000e+00   1.68000e+00   1.40057e-03 
169       1.69000e+00   6.74321e-01   1.69000e+00   1.69000e+00   1.40075e-03 
170       1.70000e+00   6.74321e-01   1.70000e+00   1.70000e+00   1.40094e-03 
171       1.71000e+00   6.74321e-01   1.71000e+00   1.71000e+00   1.40113e-03 
172       1.72000e+00   6.74321e-01   1.72000e+00   1.72000e+00   1.40131e-03 
173       1.73000e+00   6.74321e-01   1.73000e+00   1.73000e+00   1.40150e-03 
174       1.74000e+00   6.74321e-01   1.74000e+00   1.74000e+00   1.40169e-03 
175       1.75000e+00   6.74321e-01   1.75000e+00   1.75000e+00   1.40187e-03 
176       1.76000e+00   6.74321e-01   1.76000e+00   1.76000e+00   1.40206e-03 
177       1.77000e+00   6.74321e-01   1.77000e+00   1.77000e+00   1.40225e-03 
178       1.78000e+00   6.74321e-01   1.78000e+00   1.78000e+00   1.40243e-03 
179       1.79000e+00   6.74321e-01   1.79000e+00   1.79000e+00   1.40262e-03 
180       1.80000e+00   6.74321e-01   1.80000e+00   1.80000e+00   1.40281e-03 
181       1.81000e+00   6.74321e-01   1.81000e+00   1.81000e+00   1.40299e-03 
182       1.82000e+00   6.74321e-01   1.82000e+00   1.82000e+00   1.40318e-03 
183       1.83000e+00   6.74321e-01   1.83000e+00   1.83000e+00   1.40337e-03 
184       1.84000e+00   6.74321e-01   1.84000e+00   1.84000e+00   1.40355e-03 
185       1.85000e+00   6.74321e-01   1.85000e+00   1.85000e+00   1.40374e-03 
186       1.86000e+00   6.74321e-01   1.86000e+00   1.86000e+00   1.40393e-03 
187       1.87000e+00   6.74321e-01   1.87000e+00   1.87000e+00   1.40411e-03 
188       1.88000e+00   6.74321e-01   1.88000e+00   1.88000e+00   1.40430e-03 
189       1.89000e+00   6.74321e-01   1.89000e+00   1.89000e+00   1.40449e-03 
190       1.90000e+00   6.74321e-01   1.90000e+00   1.90000e+00   1.40467e-03 
191       1.91000e+00   6.74321e-01   1.91000e+00   1.91000e+00   1.40486e-03 
192       1.92000e+00   6.74321e-01   1.92000e+00   1.92000e+00   1.40505e-03 
193       1.93000e+00   6.74321e-01   1.93000e+00   1.93000e+00   1.40523e-03 
194       1.94000e+00   6.74321e-01   1.94000e+00   1.94000e+00   1.40542e-03 
195       1.95000e+00   6.74321e-01   1.95000e+00   1.95000e+00   1.40561e-03 
196       1.96000e+00   6.74321e-01   1.96000e+00   1.96000e+00   1.40579e-03 
197       1.97000e+00   6.74321e-01   1.97000e+00   1.97000e+00   1.40598e-03 
198       1.98000e+00   6.74321e-01   1.98000e+00   1.98000e+00   1.40617e-03 
199       1.99000e+00   6.74321e-01   1.99000e+00   1.99000e+00   1.40635e-03 
200       2.00000e+00   6.74321e-01   2.00000e+00   2.00000e+00   1.40654e-03 
201       2.01000e+00   6.74321e-01   2.01000e+00   2.01000e+00   1.40673e-03 
202       2.02000e+00   6.74321e-01   2.02000e+00   2.02000e+00   1.40691e-03 
203       2.03000e+00   6.74321e-01   2.03000e+00   2.03000e+00   1.40710e-03 
204       2.04000e+00   6.74321e-01   2.04000e+00   2.04000e+00   1.40729e-03 
205       2.05000e+00   6.74321e-01   2.05000e+00   2.05000e+00   1.40747e-03 
206       2.06000e+00   6.74321e-01   2.06000e+00   2.06000e+00   1.40766e-03 
207       2.07000e+00   6.74321e-01   2.07000e+00   2.07000e+00   1.40785e-03 
208       2.08000e+00   6.74321e-01   2.08000e+00   2.08000e+00   1.40803e-03 
209       2.09000e+00   6.74321e-01   2.09000e+00   2.09000e+00   1.40822e-03 
210       2.10000e+00   6.74321e-01   2.10000e+00   2.10000e+00   1.40841e-03 
211       2.11000e+00   6.74321e-01   2.11000e+00   2.11000e+00   1.40859e-03 
212       2.12000e+00   6.74321e-01   2.12000e+00   2.12000e+00   1.40878e-03 
213       2.13000e+00   6.74321e-01   2.13000e+00   2.13000e+00   1.40897e-03 
214       2.14000e+00   6.74321e-01   2.14000e+00   2.14000e+00   1.40915e-03 
215       2.15000e+00   6.74321e-01   2.15000e+00   2.15000e+00   1.40934e-03 
216       2.16000e+00   6.74321e-01   2.16000e+00   2.16000e+00   1.40953e-03 
217       2.17000e+00   6.74321e-01   2.17000e+00   2.17000e+00   1.40971e-03 
218       2.18000e+00   6.74321e-01   2.18000e+00   2.18000e+00   1.40990e-03 
219       2.19000e+00   6.74321e-01   2.19000e+00   2.19000e+00   1.41009e-03 
220       2.20000e+00   6.74321e-01   2.20000e+00   2.20000e+00   1.41027e-03 

Index     sweep         v(1)          v(3)          v(99)         vc#branch   
--------------------------------------------------------------------------------
221       2.21000e+00   6.74321e-01   2.21000e+00   2.21000e+00   1.41046e-03 
222       2.22000e+00   6.74321e-01   2.22000e+00   2.22000e+00   1.41065e-03 
223       2.23000e+00   6.74321e-01   2.23000e+00   2.23000e+00   1.41083e-03 
224       2.24000e+00   6.74321e-01   2.24000e+00   2.24000e+00   1.41102e-03 
225       2.25000e+00   6.74321e-01   2.25000e+00   2.25000e+00   1.41121e-03 
226       2.26000e+00   6.74321e-01   2.26000e+00   2.26000e+00   1.41139e-03 
227       2.27000e+00   6.74321e-01   2.27000e+00   2.27000e+00   1.41158e-03 
228       2.28000e+00   6.74321e-01   2.28000e+00   2.28000e+00   1.41177e-03 
229       2.29000e+00   6.74321e-01   2.29000e+00   2.29000e+00   1.41195e-03 
230       2.30000e+00   6.74321e-01   2.30000e+00   2.30000e+00   1.41214e-03 
231       2.31000e+00   6.74321e-01   2.31000e+00   2.31000e+00   1.41233e-03 
232       2.32000e+00   6.74321e-01   2.32000e+00   2.32000e+00   1.41251e-03 
