Index     sweep         I_Si           I_Ge      
0        0.00000e+00   -9.73384e-20   -4.16139e-25 
1        2.00000e-02   1.39818e-09   1.61459e-06 
2        4.00000e-02   3.57211e-09   4.23075e-06 
3        6.00000e-02   6.95217e-09   8.46805e-06 
4        8.00000e-02   1.22076e-08   1.53265e-05 
5        1.00000e-01   2.03788e-08   2.64155e-05 
6        1.20000e-01   3.30836e-08   4.43139e-05 
7        1.40000e-01   5.28374e-08   7.31225e-05 
8        1.60000e-01   8.35510e-08   1.19290e-04 
9        1.80000e-01   1.31305e-07   1.92765e-04 
10        2.00000e-01   2.05555e-07   3.08457e-04 
11        2.20000e-01   3.21000e-07   4.87733e-04 
12        2.40000e-01   5.00497e-07   7.59199e-04 
13        2.60000e-01   7.79581e-07   1.15756e-03 
14        2.80000e-01   1.21350e-06   1.71937e-03 
15        3.00000e-01   1.88817e-06   2.47615e-03 
16        3.20000e-01   2.93714e-06   3.44744e-03 
17        3.40000e-01   4.56805e-06   4.63749e-03 
18        3.60000e-01   7.10369e-06   6.03675e-03 
19        3.80000e-01   1.10459e-05   7.62654e-03 
20        4.00000e-01   1.71745e-05   9.38417e-03 
21        4.20000e-01   2.67016e-05   1.12867e-02 
22        4.40000e-01   4.15100e-05   1.33131e-02 
23        4.60000e-01   6.45236e-05   1.54449e-02 
24        4.80000e-01   1.00279e-04   1.76665e-02 
25        5.00000e-01   1.55810e-04   1.99650e-02 
26        5.20000e-01   2.41998e-04   2.23295e-02 
27        5.40000e-01   3.75636e-04   2.47511e-02 
28        5.60000e-01   5.82537e-04   2.72223e-02 
29        5.80000e-01   9.02125e-04   2.97368e-02 
30        6.00000e-01   1.39403e-03   3.22895e-02 
31        6.20000e-01   2.14710e-03   3.48759e-02 
32        6.40000e-01   3.29083e-03   3.74923e-02 
33        6.60000e-01   5.00766e-03   4.01356e-02 
34        6.80000e-01   7.54236e-03   4.28029e-02 
35        7.00000e-01   1.12009e-02   4.54919e-02 
36        7.20000e-01   1.63299e-02   4.82007e-02 
37        7.40000e-01   2.32720e-02   5.09273e-02
38        7.60000e-01   3.23068e-02   5.36702e-02 
39        7.80000e-01   4.35992e-02   5.64281e-02 
40        8.00000e-01   5.71785e-02   5.91998e-02 
41        8.20000e-01   7.29542e-02   6.19841e-02 
42        8.40000e-01   9.07534e-02   6.47802e-02 
43        8.60000e-01   1.10363e-01   6.75871e-02 
44        8.80000e-01   1.31562e-01   7.04040e-02 
45        9.00000e-01   1.54141e-01   7.32304e-02 
46        9.20000e-01   1.77913e-01   7.60655e-02 
47        9.40000e-01   2.02715e-01   7.89088e-02 
48        9.60000e-01   2.28408e-01   8.17597e-02 
49        9.80000e-01   2.54874e-01   8.46179e-02 
50        1.00000e+00   2.82013e-01   8.74828e-02
0         0.00000e+00   0.00000e+00  -2.66184e-21 
1         2.00000e-02   9.55823e-09   5.88376e-06 
2         4.00000e-02   2.39237e-08   1.50557e-05 
3         6.00000e-02   4.55144e-08   2.93361e-05 
4         8.00000e-02   7.79639e-08   5.15284e-05 
5         1.00000e-01   1.26734e-07   8.59168e-05 
6         1.20000e-01   2.00032e-07   1.38968e-04 
7         1.40000e-01   3.10196e-07   2.20265e-04 
8         1.60000e-01   4.75766e-07   3.43615e-04 
9         1.80000e-01   7.24608e-07   5.28101e-04 
10        2.00000e-01   1.09860e-06   7.98543e-04 
11        2.20000e-01   1.66069e-06   1.18456e-03 
12        2.40000e-01   2.50546e-06   1.71750e-03 
13        2.60000e-01   3.77508e-06   2.42547e-03 
14        2.80000e-01   5.68318e-06   3.32804e-03 
15        3.00000e-01   8.55081e-06   4.43295e-03 
16        3.20000e-01   1.28603e-05   5.73618e-03 
17        3.40000e-01   1.93365e-05   7.22479e-03 
18        3.60000e-01   2.90681e-05   8.88076e-03 
19        3.80000e-01   4.36900e-05   1.06843e-02 
20        4.00000e-01   6.56566e-05   1.26163e-02 
21        4.20000e-01   9.86504e-05   1.46593e-02 
22        4.40000e-01   1.48191e-04   1.67979e-02 
23        4.60000e-01   2.22542e-04   1.90190e-02 
24        4.80000e-01   3.34047e-04   2.13115e-02 
25        5.00000e-01   5.01095e-04   2.36661e-02 
26        5.20000e-01   7.50954e-04   2.60749e-02 
27        5.40000e-01   1.12380e-03   2.85312e-02 
28        5.60000e-01   1.67822e-03   3.10294e-02 
29        5.80000e-01   2.49845e-03   3.35649e-02 
30        6.00000e-01   3.70305e-03   3.61334e-02 
31        6.20000e-01   5.45384e-03   3.87316e-02 
32        6.40000e-01   7.96221e-03   4.13564e-02 
33        6.60000e-01   1.14880e-02   4.40053e-02 
34        6.80000e-01   1.63253e-02   4.66759e-02 
35        7.00000e-01   2.27713e-02   4.93664e-02 
36        7.20000e-01   3.10838e-02   5.20750e-02 
37        7.40000e-01   4.14397e-02   5.48002e-02 
38        7.60000e-01   5.39113e-02   5.75407e-02 
39        7.80000e-01   6.84671e-02   6.02952e-02 
40        8.00000e-01   8.49940e-02   6.30626e-02 
41        8.20000e-01   1.03328e-01   6.58421e-02 
42        8.40000e-01   1.23283e-01   6.86328e-02 
43        8.60000e-01   1.44671e-01   7.14339e-02 
44        8.80000e-01   1.67317e-01   7.42447e-02 
45        9.00000e-01   1.91062e-01   7.70645e-02 
46        9.20000e-01   2.15766e-01   7.98929e-02 
47        9.40000e-01   2.41309e-01   8.27292e-02 
48        9.60000e-01   2.67588e-01   8.55731e-02 
49        9.80000e-01   2.94514e-01   8.84240e-02 
50        1.00000e+00   3.22011e-01   9.12816e-02 
0         0.00000e+00  -7.99335e-37  -2.99514e-36 
1         2.00000e-02   4.98562e-08   1.78552e-05 
2         4.00000e-02   1.22639e-07   4.47134e-05 
3         6.00000e-02   2.28891e-07   8.49937e-05 
4         8.00000e-02   3.84004e-07   1.45137e-04 
5         1.00000e-01   6.10446e-07   2.34358e-04 
6         1.20000e-01   9.41018e-07   3.65495e-04 
7         1.40000e-01   1.42360e-06   5.55742e-04 
8         1.60000e-01   2.12809e-06   8.26902e-04 
9         1.80000e-01   3.15653e-06   1.20459e-03 
10        2.00000e-01   4.65787e-06   1.71596e-03 
11        2.20000e-01   6.84952e-06   2.38597e-03 
12        2.40000e-01   1.00488e-05   3.23339e-03 
13        2.60000e-01   1.47190e-05   4.26782e-03 
14        2.80000e-01   2.15359e-05   5.48910e-03 
15        3.00000e-01   3.14858e-05   6.88883e-03 
16        3.20000e-01   4.60075e-05   8.45316e-03 
17        3.40000e-01   6.71989e-05   1.01656e-02 
18        3.60000e-01   9.81181e-05   1.20090e-02 
19        3.80000e-01   1.43219e-04   1.39673e-02 
20        4.00000e-01   2.08981e-04   1.60257e-02 
21        4.20000e-01   3.04819e-04   1.81715e-02 
22        4.40000e-01   4.44375e-04   2.03933e-02 
23        4.60000e-01   6.47361e-04   2.26817e-02 
24        4.80000e-01   9.42112e-04   2.50285e-02 
25        5.00000e-01   1.36911e-03   2.74268e-02 
26        5.20000e-01   1.98555e-03   2.98706e-02 
27        5.40000e-01   2.87122e-03   3.23549e-02 
28        5.60000e-01   4.13506e-03   3.48753e-02 
29        5.80000e-01   5.92182e-03   3.74280e-02 
30        6.00000e-01   8.41631e-03   4.00100e-02 
31        6.20000e-01   1.18423e-02   4.26182e-02 
32        6.40000e-01   1.64522e-02   4.52504e-02 
