                        * ELE339 BJT Modeling IC vs. IB
             DC transfer characteristic  Thu Jun 29 22:14:17  2023
--------------------------------------------------------------------------------
Index     sweep         v(1)          v(3)          v(99)         vc#branch   
--------------------------------------------------------------------------------
0         0.00000e+00   6.37961e-01   0.00000e+00   0.00000e+00  -3.92939e-04 
1         1.00000e-02   6.47758e-01   1.00000e-02   1.00000e-02  -2.56297e-04 
2         2.00000e-02   6.57472e-01   2.00000e-02   2.00000e-02  -5.98708e-05 
3         3.00000e-02   6.67068e-01   3.00000e-02   3.00000e-02   2.19866e-04 
4         4.00000e-02   6.76507e-01   4.00000e-02   4.00000e-02   6.13232e-04 
5         5.00000e-02   6.85736e-01   5.00000e-02   5.00000e-02   1.15727e-03 
6         6.00000e-02   6.94696e-01   6.00000e-02   6.00000e-02   1.89404e-03 
7         7.00000e-02   7.03324e-01   7.00000e-02   7.00000e-02   2.86681e-03 
8         8.00000e-02   7.11559e-01   8.00000e-02   8.00000e-02   4.11434e-03 
9         9.00000e-02   7.19349e-01   9.00000e-02   9.00000e-02   5.66454e-03 
10        1.00000e-01   7.26659e-01   1.00000e-01   1.00000e-01   7.52945e-03 
11        1.10000e-01   7.33469e-01   1.10000e-01   1.10000e-01   9.70319e-03 
12        1.20000e-01   7.39775e-01   1.20000e-01   1.20000e-01   1.21629e-02 
13        1.30000e-01   7.45586e-01   1.30000e-01   1.30000e-01   1.48720e-02 
14        1.40000e-01   7.50920e-01   1.40000e-01   1.40000e-01   1.77837e-02 
15        1.50000e-01   7.55795e-01   1.50000e-01   1.50000e-01   2.08446e-02 
16        1.60000e-01   7.60232e-01   1.60000e-01   1.60000e-01   2.39968e-02 
17        1.70000e-01   7.64250e-01   1.70000e-01   1.70000e-01   2.71797e-02 
18        1.80000e-01   7.67864e-01   1.80000e-01   1.80000e-01   3.03312e-02 
19        1.90000e-01   7.71087e-01   1.90000e-01   1.90000e-01   3.33883e-02 
20        2.00000e-01   7.73928e-01   2.00000e-01   2.00000e-01   3.62890e-02 
21        2.10000e-01   7.76397e-01   2.10000e-01   2.10000e-01   3.89749e-02 
22        2.20000e-01   7.78505e-01   2.20000e-01   2.20000e-01   4.13951e-02 
23        2.30000e-01   7.80266e-01   2.30000e-01   2.30000e-01   4.35111e-02 
24        2.40000e-01   7.81702e-01   2.40000e-01   2.40000e-01   4.53016e-02 
25        2.50000e-01   7.82841e-01   2.50000e-01   2.50000e-01   4.67663e-02 
26        2.60000e-01   7.83720e-01   2.60000e-01   2.60000e-01   4.79252e-02 
27        2.70000e-01   7.84382e-01   2.70000e-01   2.70000e-01   4.88141e-02 
28        2.80000e-01   7.84868e-01   2.80000e-01   2.80000e-01   4.94777e-02 
29        2.90000e-01   7.85218e-01   2.90000e-01   2.90000e-01   4.99624e-02 
30        3.00000e-01   7.85467e-01   3.00000e-01   3.00000e-01   5.03105e-02 
31        3.10000e-01   7.85641e-01   3.10000e-01   3.10000e-01   5.05577e-02 
32        3.20000e-01   7.85762e-01   3.20000e-01   3.20000e-01   5.07320e-02 
33        3.30000e-01   7.85845e-01   3.30000e-01   3.30000e-01   5.08547e-02 
34        3.40000e-01   7.85902e-01   3.40000e-01   3.40000e-01   5.09413e-02 
35        3.50000e-01   7.85942e-01   3.50000e-01   3.50000e-01   5.10029e-02 
36        3.60000e-01   7.85968e-01   3.60000e-01   3.60000e-01   5.10470e-02 
37        3.70000e-01   7.85987e-01   3.70000e-01   3.70000e-01   5.10794e-02 
38        3.80000e-01   7.85999e-01   3.80000e-01   3.80000e-01   5.11037e-02 
39        3.90000e-01   7.86008e-01   3.90000e-01   3.90000e-01   5.11225e-02 
40        4.00000e-01   7.86013e-01   4.00000e-01   4.00000e-01   5.11374e-02 
41        4.10000e-01   7.86017e-01   4.10000e-01   4.10000e-01   5.11498e-02 
42        4.20000e-01   7.86020e-01   4.20000e-01   4.20000e-01   5.11605e-02 
43        4.30000e-01   7.86022e-01   4.30000e-01   4.30000e-01   5.11700e-02 
44        4.40000e-01   7.86023e-01   4.40000e-01   4.40000e-01   5.11787e-02 
45        4.50000e-01   7.86024e-01   4.50000e-01   4.50000e-01   5.11868e-02 
46        4.60000e-01   7.86024e-01   4.60000e-01   4.60000e-01   5.11945e-02 
47        4.70000e-01   7.86025e-01   4.70000e-01   4.70000e-01   5.12020e-02 
48        4.80000e-01   7.86025e-01   4.80000e-01   4.80000e-01   5.12093e-02 
49        4.90000e-01   7.86025e-01   4.90000e-01   4.90000e-01   5.12165e-02 
50        5.00000e-01   7.86025e-01   5.00000e-01   5.00000e-01   5.12236e-02 
51        5.10000e-01   7.86025e-01   5.10000e-01   5.10000e-01   5.12307e-02 
52        5.20000e-01   7.86025e-01   5.20000e-01   5.20000e-01   5.12377e-02 

Index     sweep         v(1)          v(3)          v(99)         vc#branch   
--------------------------------------------------------------------------------
53        5.30000e-01   7.86025e-01   5.30000e-01   5.30000e-01   5.12447e-02 
54        5.40000e-01   7.86026e-01   5.40000e-01   5.40000e-01   5.12517e-02 
55        5.50000e-01   7.86026e-01   5.50000e-01   5.50000e-01   5.12586e-02 
56        5.60000e-01   7.86026e-01   5.60000e-01   5.60000e-01   5.12656e-02 
57        5.70000e-01   7.86026e-01   5.70000e-01   5.70000e-01   5.12726e-02 
58        5.80000e-01   7.86026e-01   5.80000e-01   5.80000e-01   5.12795e-02 
59        5.90000e-01   7.86026e-01   5.90000e-01   5.90000e-01   5.12865e-02 
60        6.00000e-01   7.86026e-01   6.00000e-01   6.00000e-01   5.12934e-02 
61        6.10000e-01   7.86026e-01   6.10000e-01   6.10000e-01   5.13004e-02 
62        6.20000e-01   7.86026e-01   6.20000e-01   6.20000e-01   5.13073e-02 
63        6.30000e-01   7.86026e-01   6.30000e-01   6.30000e-01   5.13143e-02 
64        6.40000e-01   7.86026e-01   6.40000e-01   6.40000e-01   5.13212e-02 
65        6.50000e-01   7.86026e-01   6.50000e-01   6.50000e-01   5.13282e-02 
