time	V(vp)
Step Information: Init=1  (Run: 1/3)
0.000000000000000e+00	1.000000e+00
9.765625114122045e-11	1.000010e+00
1.953125022824409e-10	1.000020e+00
8.000000093488779e-07	1.076125e+00
1.600000018697756e-06	1.145109e+00
3.200000037395512e-06	1.264802e+00
6.400000074791024e-06	1.453325e+00
1.101059448590454e-05	1.646777e+00
1.565338701765723e-05	1.772910e+00
2.007385714274351e-05	1.845280e+00
2.478819039406456e-05	1.890503e+00
2.920995358609545e-05	1.914331e+00
3.358370699391348e-05	1.926444e+00
3.706345498804622e-05	1.930805e+00
3.948146644050959e-05	1.931572e+00
4.247396118688970e-05	1.930737e+00
4.568310335006946e-05	1.928375e+00
5.078850849473546e-05	1.922606e+00
5.634006788317030e-05	1.914627e+00
6.391824966894373e-05	1.902045e+00
7.225622520714469e-05	1.887166e+00
8.202185020714468e-05	1.869163e+00
9.178747520714468e-05	1.851011e+00
1.406156002071447e-04	1.762024e+00
2.773343502071448e-04	1.534723e+00
4.140531002071449e-04	1.336743e+00
5.507718502071450e-04	1.164303e+00
6.874906002071451e-04	1.014107e+00
8.242093502071452e-04	8.832871e-01
9.609281002071453e-04	7.693427e-01
1.097646850207145e-03	6.700972e-01
1.234365600207146e-03	5.836545e-01
1.371084350207146e-03	5.083629e-01
1.507803100207146e-03	4.427839e-01
1.644521850207146e-03	3.856646e-01
1.781240600207146e-03	3.359137e-01
1.917959350207146e-03	2.925808e-01
2.054678100207144e-03	2.548377e-01
2.191396850207141e-03	2.219636e-01
2.328115600207138e-03	1.933302e-01
2.464834350207135e-03	1.683905e-01
2.601553100207132e-03	1.466681e-01
2.738271850207130e-03	1.277479e-01
2.874990600207127e-03	1.112683e-01
3.011709350207124e-03	9.691469e-02
3.148428100207121e-03	8.441266e-02
3.285146850207118e-03	7.352340e-02
3.421865600207115e-03	6.403886e-02
3.558584350207112e-03	5.577782e-02
3.695303100207109e-03	4.858246e-02
3.832021850207106e-03	4.231531e-02
3.968740600207104e-03	3.685662e-02
4.105459350207101e-03	3.210210e-02
4.242178100207098e-03	2.796092e-02
4.378896850207095e-03	2.435395e-02
4.515615600207092e-03	2.121229e-02
4.652334350207089e-03	1.847589e-02
4.789053100207086e-03	1.609250e-02
4.925771850207083e-03	1.401656e-02
5.062490600207080e-03	1.220842e-02
5.199209350207078e-03	1.063353e-02
5.335928100207075e-03	9.261799e-03
5.472646850207072e-03	8.067024e-03
5.609365600207069e-03	7.026375e-03
5.746084350207066e-03	6.119970e-03
5.882803100207063e-03	5.330492e-03
6.019521850207060e-03	4.642857e-03
6.156240600207057e-03	4.043926e-03
6.292959350207054e-03	3.522259e-03
6.429678100207051e-03	3.067886e-03
6.566396850207048e-03	2.672128e-03
6.703115600207045e-03	2.327422e-03
6.839834350207043e-03	2.027184e-03
6.976553100207040e-03	1.765677e-03
7.113271850207037e-03	1.537904e-03
7.249990600207034e-03	1.339514e-03
7.386709350207031e-03	1.166716e-03
7.523428100207028e-03	1.016209e-03
7.660146850207025e-03	8.851179e-04
7.796865600207022e-03	7.709373e-04
7.933584350207020e-03	6.714861e-04
8.070303100207017e-03	5.848642e-04
8.207021850207014e-03	5.094165e-04
8.343740600207011e-03	4.437016e-04
8.490224975207008e-03	3.826701e-04
8.636709350207005e-03	3.300336e-04
8.783193725207002e-03	2.846372e-04
8.929678100206999e-03	2.454852e-04
9.076162475206996e-03	2.117185e-04
9.222646850206993e-03	1.825965e-04
9.369131225206990e-03	1.574802e-04
9.525381225206986e-03	1.344854e-04
9.681631225206983e-03	1.148482e-04
9.759756225206981e-03	1.061326e-04
9.925771850206978e-03	8.974565e-05
9.994131225206976e-03	8.375644e-05
1.000000000000000e-02	8.326013e-05
Step Information: Init=3  (Run: 2/3)
0.000000000000000e+00	3.000000e+00
9.765625114122045e-11	3.000010e+00
1.953125022824409e-10	3.000020e+00
8.000000093488779e-07	3.076048e+00
1.600000018697756e-06	3.144814e+00
3.200000037395512e-06	3.263711e+00
6.400000074791024e-06	3.449941e+00
1.092332001159448e-05	3.635687e+00
1.544331915261258e-05	3.753814e+00
1.969892289028536e-05	3.818602e+00
2.428391325378305e-05	3.856835e+00
2.843108736030018e-05	3.874159e+00
3.148673131201588e-05	3.879154e+00
3.390879498339778e-05	3.879512e+00
3.611819379044868e-05	3.877584e+00
4.035979144927227e-05	3.870354e+00
4.507479939300131e-05	3.858911e+00
5.176479788457890e-05	3.838676e+00
5.883171370113601e-05	3.814577e+00
6.859733870113601e-05	3.779121e+00
7.836296370113600e-05	3.742831e+00
9.789421370113599e-05	3.670083e+00
2.346129637011361e-04	3.196688e+00
3.713317137011362e-04	2.784314e+00
5.080504637011363e-04	2.425137e+00
6.447692137011364e-04	2.112293e+00
7.814879637011366e-04	1.839806e+00
9.182067137011367e-04	1.602471e+00
1.054925463701137e-03	1.395751e+00
1.191644213701137e-03	1.215699e+00
1.328362963701137e-03	1.058874e+00
1.465081713701137e-03	9.222785e-01
1.601800463701137e-03	8.033042e-01
1.738519213701137e-03	6.996777e-01
1.875237963701137e-03	6.094190e-01
2.011956713701136e-03	5.308038e-01
2.148675463701133e-03	4.623299e-01
2.285394213701130e-03	4.026892e-01
2.422112963701127e-03	3.507422e-01
2.558831713701124e-03	3.054963e-01
2.695550463701121e-03	2.660871e-01
2.832269213701119e-03	2.317618e-01
2.968987963701116e-03	2.018645e-01
3.105706713701113e-03	1.758239e-01
3.242425463701110e-03	1.531425e-01
3.379144213701107e-03	1.333871e-01
3.515862963701104e-03	1.161801e-01
3.652581713701101e-03	1.011928e-01
3.789300463701098e-03	8.813894e-02
3.926019213701095e-03	7.676898e-02
4.062737963701092e-03	6.686576e-02
4.199456713701089e-03	5.824005e-02
4.336175463701086e-03	5.072706e-02
4.472894213701084e-03	4.418325e-02
4.609612963701081e-03	3.848360e-02
4.746331713701078e-03	3.351920e-02
4.883050463701075e-03	2.919521e-02
5.019769213701072e-03	2.542902e-02
5.156487963701069e-03	2.214867e-02
5.293206713701066e-03	1.929148e-02
5.429925463701063e-03	1.680288e-02
5.566644213701060e-03	1.463530e-02
5.703362963701057e-03	1.274734e-02
5.840081713701054e-03	1.110293e-02
5.976800463701052e-03	9.670647e-03
6.113519213701049e-03	8.423130e-03
6.250237963701046e-03	7.336544e-03
6.386956713701043e-03	6.390127e-03
6.523675463701040e-03	5.565799e-03
6.660394213701037e-03	4.847809e-03
